118.890000	105.640000	85.230000	70.720000	54.490000	64.180000	59.270000	57.560000	45.530000	29.740000	31.390000	30.690000	19.890000	21.650000	15.100000	471.660000	413.900000	340.700000	287.220000	236.520000	247.240000	230.870000	202.870000	185.660000	114.970000	128.600000	126.820000	91.690000	93.790000	64.250000	1044.050000	913.540000	764.890000	660.900000	563.930000	545.090000	504.820000	439.090000	399.030000	267.420000	286.220000	277.280000	221.510000	212.540000	147.180000	1854.870000	1611.200000	1348.540000	1178.430000	1028.410000	952.070000	882.640000	763.940000	687.880000	478.980000	505.400000	491.210000	397.600000	387.970000	273.510000	2906.750000	2520.720000	2097.640000	1838.630000	1630.340000	1488.580000	1351.930000	1182.510000	1054.450000	761.780000	781.860000	769.850000	629.010000	617.450000	446.550000	4200.290000	3630.530000	3026.560000	2662.270000	2372.270000	2142.230000	1915.300000	1709.010000	1504.570000	1110.570000	1118.680000	1098.550000	913.020000	896.090000	669.590000	5725.630000	4949.560000	4124.990000	3651.680000	3262.460000	2934.800000	2572.370000	2350.830000	2044.940000	1539.020000
471.660000	413.900000	340.700000	287.220000	236.520000	247.240000	230.870000	202.870000	185.660000	114.970000	128.600000	126.820000	91.690000	93.790000	64.250000	1044.050000	913.540000	764.890000	660.900000	563.930000	545.090000	504.820000	439.090000	399.030000	267.420000	286.220000	277.280000	221.510000	212.540000	147.180000	1854.870000	1611.200000	1348.540000	1178.430000	1028.410000	952.070000	882.640000	763.940000	687.880000	478.980000	505.400000	491.210000	397.600000	387.970000	273.510000	2906.750000	2520.720000	2097.640000	1838.630000	1630.340000	1488.580000	1351.930000	1182.510000	1054.450000	761.780000	781.860000	769.850000	629.010000	617.450000	446.550000	4200.290000	3630.530000	3026.560000	2662.270000	2372.270000	2142.230000	1915.300000	1709.010000	1504.570000	1110.570000	1118.680000	1098.550000	913.020000	896.090000	669.590000	5725.630000	4949.560000	4124.990000	3651.680000	3262.460000	2934.800000	2572.370000	2350.830000	2044.940000	1539.020000	1510.910000	1478.650000	1256.550000	1218.880000	935.800000	7475.950000	6479.160000	5393.930000	4806.800000	4289.180000	3848.220000	3339.580000	3098.480000	2676.770000	2052.620000
1044.050000	913.540000	764.890000	660.900000	563.930000	545.090000	504.820000	439.090000	399.030000	267.420000	286.220000	277.280000	221.510000	212.540000	147.180000	1854.870000	1611.200000	1348.540000	1178.430000	1028.410000	952.070000	882.640000	763.940000	687.880000	478.980000	505.400000	491.210000	397.600000	387.970000	273.510000	2906.750000	2520.720000	2097.640000	1838.630000	1630.340000	1488.580000	1351.930000	1182.510000	1054.450000	761.780000	781.860000	769.850000	629.010000	617.450000	446.550000	4200.290000	3630.530000	3026.560000	2662.270000	2372.270000	2142.230000	1915.300000	1709.010000	1504.570000	1110.570000	1118.680000	1098.550000	913.020000	896.090000	669.590000	5725.630000	4949.560000	4124.990000	3651.680000	3262.460000	2934.800000	2572.370000	2350.830000	2044.940000	1539.020000	1510.910000	1478.650000	1256.550000	1218.880000	935.800000	7475.950000	6479.160000	5393.930000	4806.800000	4289.180000	3848.220000	3339.580000	3098.480000	2676.770000	2052.620000	1964.700000	1914.510000	1651.740000	1600.470000	1255.330000	9456.140000	8240.250000	6850.250000	6107.440000	5453.460000	4888.240000	4223.490000	3946.450000	3401.630000	2644.800000
1854.870000	1611.200000	1348.540000	1178.430000	1028.410000	952.070000	882.640000	763.940000	687.880000	478.980000	505.400000	491.210000	397.600000	387.970000	273.510000	2906.750000	2520.720000	2097.640000	1838.630000	1630.340000	1488.580000	1351.930000	1182.510000	1054.450000	761.780000	781.860000	769.850000	629.010000	617.450000	446.550000	4200.290000	3630.530000	3026.560000	2662.270000	2372.270000	2142.230000	1915.300000	1709.010000	1504.570000	1110.570000	1118.680000	1098.550000	913.020000	896.090000	669.590000	5725.630000	4949.560000	4124.990000	3651.680000	3262.460000	2934.800000	2572.370000	2350.830000	2044.940000	1539.020000	1510.910000	1478.650000	1256.550000	1218.880000	935.800000	7475.950000	6479.160000	5393.930000	4806.800000	4289.180000	3848.220000	3339.580000	3098.480000	2676.770000	2052.620000	1964.700000	1914.510000	1651.740000	1600.470000	1255.330000	9456.140000	8240.250000	6850.250000	6107.440000	5453.460000	4888.240000	4223.490000	3946.450000	3401.630000	2644.800000	2491.780000	2408.470000	2099.450000	2029.560000	1626.860000	11676.060000	10236.320000	8507.370000	7553.720000	6757.580000	6051.650000	5209.140000	4895.960000	4224.890000	3311.520000
2906.750000	2520.720000	2097.640000	1838.630000	1630.340000	1488.580000	1351.930000	1182.510000	1054.450000	761.780000	781.860000	769.850000	629.010000	617.450000	446.550000	4200.290000	3630.530000	3026.560000	2662.270000	2372.270000	2142.230000	1915.300000	1709.010000	1504.570000	1110.570000	1118.680000	1098.550000	913.020000	896.090000	669.590000	5725.630000	4949.560000	4124.990000	3651.680000	3262.460000	2934.800000	2572.370000	2350.830000	2044.940000	1539.020000	1510.910000	1478.650000	1256.550000	1218.880000	935.800000	7475.950000	6479.160000	5393.930000	4806.800000	4289.180000	3848.220000	3339.580000	3098.480000	2676.770000	2052.620000	1964.700000	1914.510000	1651.740000	1600.470000	1255.330000	9456.140000	8240.250000	6850.250000	6107.440000	5453.460000	4888.240000	4223.490000	3946.450000	3401.630000	2644.800000	2491.780000	2408.470000	2099.450000	2029.560000	1626.860000	11676.060000	10236.320000	8507.370000	7553.720000	6757.580000	6051.650000	5209.140000	4895.960000	4224.890000	3311.520000	3095.860000	2966.220000	2590.850000	2516.350000	2048.920000	14151.180000	12461.230000	10360.930000	9155.420000	8195.000000	7335.760000	6303.890000	5960.040000	5143.510000	4058.800000
4200.290000	3630.530000	3026.560000	2662.270000	2372.270000	2142.230000	1915.300000	1709.010000	1504.570000	1110.570000	1118.680000	1098.550000	913.020000	896.090000	669.590000	5725.630000	4949.560000	4124.990000	3651.680000	3262.460000	2934.800000	2572.370000	2350.830000	2044.940000	1539.020000	1510.910000	1478.650000	1256.550000	1218.880000	935.800000	7475.950000	6479.160000	5393.930000	4806.800000	4289.180000	3848.220000	3339.580000	3098.480000	2676.770000	2052.620000	1964.700000	1914.510000	1651.740000	1600.470000	1255.330000	9456.140000	8240.250000	6850.250000	6107.440000	5453.460000	4888.240000	4223.490000	3946.450000	3401.630000	2644.800000	2491.780000	2408.470000	2099.450000	2029.560000	1626.860000	11676.060000	10236.320000	8507.370000	7553.720000	6757.580000	6051.650000	5209.140000	4895.960000	4224.890000	3311.520000	3095.860000	2966.220000	2590.850000	2516.350000	2048.920000	14151.180000	12461.230000	10360.930000	9155.420000	8195.000000	7335.760000	6303.890000	5960.040000	5143.510000	4058.800000	3774.920000	3589.570000	3136.460000	3058.880000	2521.780000	16888.130000	14919.160000	12418.840000	10916.640000	9784.420000	8747.240000	7491.260000	7128.460000	6157.970000	4890.240000
5725.630000	4949.560000	4124.990000	3651.680000	3262.460000	2934.800000	2572.370000	2350.830000	2044.940000	1539.020000	1510.910000	1478.650000	1256.550000	1218.880000	935.800000	7475.950000	6479.160000	5393.930000	4806.800000	4289.180000	3848.220000	3339.580000	3098.480000	2676.770000	2052.620000	1964.700000	1914.510000	1651.740000	1600.470000	1255.330000	9456.140000	8240.250000	6850.250000	6107.440000	5453.460000	4888.240000	4223.490000	3946.450000	3401.630000	2644.800000	2491.780000	2408.470000	2099.450000	2029.560000	1626.860000	11676.060000	10236.320000	8507.370000	7553.720000	6757.580000	6051.650000	5209.140000	4895.960000	4224.890000	3311.520000	3095.860000	2966.220000	2590.850000	2516.350000	2048.920000	14151.180000	12461.230000	10360.930000	9155.420000	8195.000000	7335.760000	6303.890000	5960.040000	5143.510000	4058.800000	3774.920000	3589.570000	3136.460000	3058.880000	2521.780000	16888.130000	14919.160000	12418.840000	10916.640000	9784.420000	8747.240000	7491.260000	7128.460000	6157.970000	4890.240000	4521.140000	4286.420000	3740.770000	3662.850000	3049.030000	19877.590000	17609.470000	14662.570000	12840.230000	11519.050000	10266.590000	8784.960000	8414.030000	7281.720000	5819.790000
7475.950000	6479.160000	5393.930000	4806.800000	4289.180000	3848.220000	3339.580000	3098.480000	2676.770000	2052.620000	1964.700000	1914.510000	1651.740000	1600.470000	1255.330000	9456.140000	8240.250000	6850.250000	6107.440000	5453.460000	4888.240000	4223.490000	3946.450000	3401.630000	2644.800000	2491.780000	2408.470000	2099.450000	2029.560000	1626.860000	11676.060000	10236.320000	8507.370000	7553.720000	6757.580000	6051.650000	5209.140000	4895.960000	4224.890000	3311.520000	3095.860000	2966.220000	2590.850000	2516.350000	2048.920000	14151.180000	12461.230000	10360.930000	9155.420000	8195.000000	7335.760000	6303.890000	5960.040000	5143.510000	4058.800000	3774.920000	3589.570000	3136.460000	3058.880000	2521.780000	16888.130000	14919.160000	12418.840000	10916.640000	9784.420000	8747.240000	7491.260000	7128.460000	6157.970000	4890.240000	4521.140000	4286.420000	3740.770000	3662.850000	3049.030000	19877.590000	17609.470000	14662.570000	12840.230000	11519.050000	10266.590000	8784.960000	8414.030000	7281.720000	5819.790000	5330.170000	5061.920000	4408.530000	4317.480000	3623.850000	23122.900000	20539.650000	17083.250000	14924.790000	13401.370000	11900.540000	10210.230000	9804.450000	8502.720000	6848.330000
9456.140000	8240.250000	6850.250000	6107.440000	5453.460000	4888.240000	4223.490000	3946.450000	3401.630000	2644.800000	2491.780000	2408.470000	2099.450000	2029.560000	1626.860000	11676.060000	10236.320000	8507.370000	7553.720000	6757.580000	6051.650000	5209.140000	4895.960000	4224.890000	3311.520000	3095.860000	2966.220000	2590.850000	2516.350000	2048.920000	14151.180000	12461.230000	10360.930000	9155.420000	8195.000000	7335.760000	6303.890000	5960.040000	5143.510000	4058.800000	3774.920000	3589.570000	3136.460000	3058.880000	2521.780000	16888.130000	14919.160000	12418.840000	10916.640000	9784.420000	8747.240000	7491.260000	7128.460000	6157.970000	4890.240000	4521.140000	4286.420000	3740.770000	3662.850000	3049.030000	19877.590000	17609.470000	14662.570000	12840.230000	11519.050000	10266.590000	8784.960000	8414.030000	7281.720000	5819.790000	5330.170000	5061.920000	4408.530000	4317.480000	3623.850000	23122.900000	20539.650000	17083.250000	14924.790000	13401.370000	11900.540000	10210.230000	9804.450000	8502.720000	6848.330000	6207.600000	5917.690000	5133.170000	5026.580000	4247.970000	26611.750000	23704.260000	19696.620000	17173.930000	15442.880000	13660.390000	11748.820000	11290.410000	9811.700000	7966.030000
11676.060000	10236.320000	8507.370000	7553.720000	6757.580000	6051.650000	5209.140000	4895.960000	4224.890000	3311.520000	3095.860000	2966.220000	2590.850000	2516.350000	2048.920000	14151.180000	12461.230000	10360.930000	9155.420000	8195.000000	7335.760000	6303.890000	5960.040000	5143.510000	4058.800000	3774.920000	3589.570000	3136.460000	3058.880000	2521.780000	16888.130000	14919.160000	12418.840000	10916.640000	9784.420000	8747.240000	7491.260000	7128.460000	6157.970000	4890.240000	4521.140000	4286.420000	3740.770000	3662.850000	3049.030000	19877.590000	17609.470000	14662.570000	12840.230000	11519.050000	10266.590000	8784.960000	8414.030000	7281.720000	5819.790000	5330.170000	5061.920000	4408.530000	4317.480000	3623.850000	23122.900000	20539.650000	17083.250000	14924.790000	13401.370000	11900.540000	10210.230000	9804.450000	8502.720000	6848.330000	6207.600000	5917.690000	5133.170000	5026.580000	4247.970000	26611.750000	23704.260000	19696.620000	17173.930000	15442.880000	13660.390000	11748.820000	11290.410000	9811.700000	7966.030000	7173.750000	6841.820000	5937.840000	5795.310000	4927.290000	30356.560000	27060.500000	22498.430000	19606.040000	17639.170000	15539.920000	13389.280000	12882.330000	11219.840000	9181.130000
